date,weekday,time,duration,Rate (walkers/min),walkers/10 min,Manny,Jay,Toni,Poonam,Jamie,Charley,Kamil,Naresh,Stefano,Anthony,Michael,James,Danny,Tommy,JCostanza,JTobin,Gibby,Jed,JYuan,Chris,Dwane,Dwane's Dad,Sun,Govin,Will,Paul,Robert,WindowDude,CarDude,Dude1,Dude2,Dude3,Dude4,Dude5,Dude6,Dude7,Dude8,Dude9,Dude10,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
06.03.2025,Tuesday,8:00 AM,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.03.2025,Tuesday,8:10 AM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.03.2025,Tuesday,8:20 AM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.03.2025,Tuesday,8:30 AM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.03.2025,Tuesday,8:40 AM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.03.2025,Tuesday,8:50 AM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.03.2025,Tuesday,9:00 AM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.03.2025,Tuesday,9:10 AM,10,0.62,16,,,,,,,,1,1,,,,,,,,4,1,,2,,,,2,,2,,3,,,,,,,,,,,,,,,,,,,,,
06.03.2025,Tuesday,9:20 AM,10,0.91,11,1,,,,,,4,,,,2,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,
06.03.2025,Tuesday,9:30 AM,10,0.45,22,,1,,3,,,2,,4,,,,,1,1,,1,,,,,2,,,,,,2,,2,,,,,,,,,,3,,,,,,,,,
06.03.2025,Tuesday,9:40 AM,10,0.91,11,,,,2,,2,,2,,1,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.03.2025,Tuesday,9:50 AM,10,2,5,,2,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.03.2025,Tuesday,10:00 AM,10,1.67,6,,,,,,2,,,2,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.03.2025,Tuesday,10:10 AM,10,0.43,23,,6,,,,,1,,5,1,,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,,6,,,,,,,,,
06.03.2025,Tuesday,10:20 AM,10,1,10,,,,,,,1,,1,,2,,,,,,,,2,,,,,,,,,3,,,,,,,,,,,,1,,,,,,,,,
06.03.2025,Tuesday,10:30 AM,10,0.56,18,3,2,,,,,,,2,,,,,,2,3,2,,2,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,
06.03.2025,Tuesday,10:40 AM,10,1.25,8,,3,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,
06.03.2025,Tuesday,10:50 AM,10,0.63,16,,,,,,,6,,3,,,,,,,1,3,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,
06.03.2025,Tuesday,11:00 AM,10,1.25,8,,2,,,,,1,,1,,,1,,,,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,
06.03.2025,Tuesday,11:10 AM,10,0.53,19,,,,,,2,2,,2,6,2,,,1,1,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
