Standard,Category,Style Name,Internal Name
copy of hi-tech04302025,Text,Note Text (ANSI) Listing,"1:Note Text (ANSI)
"
copy of hi-tech04302025,Leader,General (ANSI),"1:General (ANSI)
"
copy of hi-tech04302025,Leader,General (ANSI),"1:General (ANSI)
"
copy of hi-tech04302025,Text,Note Text (ANSI) Listing,"1:Note Text (ANSI)
"
copy of hi-tech04302025,Leader,General (ANSI),"1:General (ANSI)
"
copy of hi-tech04302025,Leader,Default (ANSI),"1:Default (ANSI)
"
copy of hi-tech04302025,Text,Note Text (ANSI) Listing,"1:Note Text (ANSI)
"
copy of hi-tech04302025,Text,Label Text (ANSI) Listing,"1:Label Text (ANSI)
"
copy of hi-tech04302025,Text,Label Text (ANSI) Listing,"1:Label Text (ANSI)
"
copy of hi-tech04302025,Text,Label Text (ANSI) Listing,"1:Label Text (ANSI)
"
copy of hi-tech04302025,Text,Note Text (ANSI) Listing,"1:Note Text (ANSI)
"
copy of hi-tech04302025,Text,Note Text (ANSI) Listing,"1:Note Text (ANSI)
"
copy of hi-tech04302025,Text,Note Text (ANSI) Listing,"1:Note Text (ANSI)
"
copy of hi-tech04302025,Text,Label Text (ANSI) Listing,"1:Label Text (ANSI)
"
copy of hi-tech04302025,Text,Label Text (ANSI) Listing,"1:Label Text (ANSI)
"
copy of hi-tech04302025,Text,Label Text (ANSI) Listing,"1:Label Text (ANSI)
"
copy of hi-tech04302025,Leader,Default (ANSI),"1:Default (ANSI)
"
copy of hi-tech04302025,Text,Note Text (ANSI) Listing,"1:Note Text (ANSI)
"
copy of hi-tech04302025,Leader,Default (ANSI),"1:Default (ANSI)
"
copy of hi-tech04302025,Text,Note Text (ANSI) Listing,"1:Note Text (ANSI)
"
copy of hi-tech04302025,Leader,Default (ANSI),"1:Default (ANSI)
"
copy of hi-tech04302025,Text,Note Text (ANSI) Listing,"1:Note Text (ANSI)
"
copy of hi-tech04302025,Text,Note Text (ANSI) Listing,"1:Note Text (ANSI)
"
copy of hi-tech04302025,Text,Note Text (ANSI) Listing,"1:Note Text (ANSI)
"
copy of hi-tech04302025,Text,Note Text (ANSI) Listing,"1:Note Text (ANSI)
"
copy of hi-tech04302025,Text,Note Text (ANSI) Listing,"1:Note Text (ANSI)
"
copy of hi-tech04302025,Text,Note Text (ANSI) Listing,"1:Note Text (ANSI)
"
copy of hi-tech04302025,Text,Note Text (ANSI) Listing,"1:Note Text (ANSI)
"
copy of hi-tech04302025,Leader,Default (ANSI),"1:Default (ANSI)
"
copy of hi-tech04302025,Text,Note Text (ANSI) Listing,"1:Note Text (ANSI)
"
copy of hi-tech04302025,Text,Label Text (ANSI) Listing,"1:Label Text (ANSI)
"
copy of hi-tech04302025,Text,Label Text (ANSI) Listing,"1:Label Text (ANSI)
"
copy of hi-tech04302025,Text,Label Text (ANSI) Listing,"1:Label Text (ANSI)
"
copy of hi-tech04302025,Text,Label Text (ANSI) Listing,"1:Label Text (ANSI)
"
copy of hi-tech04302025,Text,Label Text (ANSI) Listing,"1:Label Text (ANSI)
"
copy of hi-tech04302025,Text,Label Text (ANSI) Listing,"1:Label Text (ANSI)
"
copy of hi-tech04302025,Text,Note Text (ANSI) Listing,"1:Note Text (ANSI)
"
copy of hi-tech04302025,Leader,General (ANSI),"1:General (ANSI)
"
copy of hi-tech04302025,Text,Note Text (ANSI) Listing,"1:Note Text (ANSI)
"
copy of hi-tech04302025,Text,Note Text (ANSI) Listing,"1:Note Text (ANSI)
"
copy of hi-tech04302025,Text,Note Text (ANSI) Listing,"1:Note Text (ANSI)
"
