Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Log Work,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Affected hardware),Custom field (Affected services),Custom field (Approvals),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Design asset type),Custom field (Design reference),Custom field (Details),Custom field (Development),Custom field (Entitlement),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Major incident),Custom field (Open forms),Custom field (Operational categorization),Custom field (Pending reason),Custom field (Product categorization),Custom field (Project deliverables),Custom field (Project focus),Custom field (Project milestones),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Related projects),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Responders),Satisfaction rating,Custom field (Satisfaction date),Custom field (Sentiment),Custom field (Severity),Custom field (Source),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Total forms),Custom field (Urgency),Custom field (Vulnerability),Custom field (Work category),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
reassign and restructure all promfi UIS codes allocated to hitech,HT10200-371,11587,Sub-task,To Do,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,24/Jun/25 9:50 AM,24/Jun/25 9:50 AM,30/Jun/25 8:41 AM,,,0,,,,Jed Ferreras,,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6f5beae8,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i001pz:,,,,,,,,,,,,,,,,,,,,,,,,,,,,11586,HT10200-370,HiTech Project Management,To Do,24/Jun/25 9:50 AM
update titleblock files to include new items from flagstar storefront drawing,HT10200-369,11585,Sub-task,To Do,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,24/Jun/25 9:48 AM,24/Jun/25 9:48 AM,30/Jun/25 8:41 AM,,,0,,,,Jed Ferreras,,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@54388adf,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i001pj:,,,,,,,,,,,,,,,,,,,,,,,,,,,,11584,HT10200-368,HiTech Titleblock,To Do,24/Jun/25 9:48 AM
update submital drawing per Jamie's Feedback,HT10200-367,11551,Sub-task,Done,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,Done,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,19/Jun/25 9:43 AM,20/Jun/25 10:54 PM,24/Jun/25 9:51 AM,20/Jun/25 10:54 PM,,0,,,,Jed Ferreras,,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5dfe1d4,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i001p3:,,,,,,,,,,,,,,,,,,,,,,,,,10135_*:*_1_*:*_133847691_*|*_10137_*:*_1_*:*_0,,,10310,HT10200-60,Metralite 320 Park Ave Flagstar Cash Room Cladding,Done,20/Jun/25 10:54 PM
couldnt obtain measurements of entrance structure but have enough info to update drawing anyway,HT10200-366,11519,Sub-task,Done,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,Done,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,18/Jun/25 3:13 PM,30/Jun/25 5:12 PM,30/Jun/25 8:41 AM,30/Jun/25 5:12 PM,30/Jun/25 12:00 AM,0,,,,Jed Ferreras,,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7b433242,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i001ov:,,,,,,,,,,,,,,,,,,,,,,,,,10136_*:*_1_*:*_0_*|*_10135_*:*_1_*:*_601743281,30/Jun/25 9:02 AM;712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885;Jamie Revised Extensively,,10312,HT10200-136,Metralite 320 Park Ave Flagstar Storefront,Done,30/Jun/25 5:12 PM
Jamie to follow up with Metralite about details before proceeding with drawing update,HT10200-365,11518,Sub-task,To Do,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,18/Jun/25 3:11 PM,25/Jun/25 8:57 AM,01/Jul/25 12:35 PM,,04/Jul/25 12:00 AM,0,,,,Jed Ferreras,,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4b02a81a,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i001on:,,,,,,,,,,,,,,,,,,,,,,,,,,,,10369,HT10200-123,Metralite 368 9th Ave Nuveen Parapet Railing,To Do,18/Jun/25 3:11 PM
field visit 2pm 06.18.2025,HT10200-364,11487,Sub-task,Done,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,Done,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,17/Jun/25 1:58 PM,18/Jun/25 3:11 PM,18/Jun/25 3:11 PM,18/Jun/25 3:10 PM,,0,,left at 1030am returned at 310pm,,Jed Ferreras,,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@38e0e272,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i001of:,,,,,,,,,,,,,,,,,,,,,,,,,10135_*:*_1_*:*_90739822_*|*_10137_*:*_1_*:*_0,,,10369,HT10200-123,Metralite 368 9th Ave Nuveen Parapet Railing,Done,18/Jun/25 3:10 PM
field visit 11:30am 06.18.2025,HT10200-363,11486,Sub-task,Done,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,Done,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,17/Jun/25 1:58 PM,18/Jun/25 3:10 PM,18/Jun/25 3:10 PM,18/Jun/25 3:10 PM,,0,,left at 1030am returned at 310pm,,Jed Ferreras,,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6523de39,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i001o7:,,,,,,,,,,,,,,,,,,,,,,,,,10135_*:*_1_*:*_90726644_*|*_10137_*:*_1_*:*_0,,,10312,HT10200-136,Metralite 320 Park Ave Flagstar Storefront,Done,18/Jun/25 3:10 PM
revise drawings per Jamie's Feedback,HT10200-362,11452,Sub-task,Done,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,Done,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,16/Jun/25 11:25 AM,16/Jun/25 5:18 PM,16/Jun/25 5:18 PM,16/Jun/25 5:18 PM,,0,,revise per Jamie’s Feedback,,Jed Ferreras,,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3be5a6f4,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i001nr:,,,,,,,,,,,,,,,,,,,,,,,,,10135_*:*_1_*:*_21174147_*|*_10137_*:*_1_*:*_0,,,10312,HT10200-136,Metralite 320 Park Ave Flagstar Storefront,Done,16/Jun/25 5:18 PM
create shipping labels,HT10200-356,11422,Sub-task,Done,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,Done,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,11/Jun/25 11:36 AM,11/Jun/25 11:54 AM,,11/Jun/25 11:54 AM,,0,,,,Jed Ferreras,,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@243f9395,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i001nj:,,,,,,,,,,,,,,,,,,,,,,,,,10135_*:*_1_*:*_1028597_*|*_10137_*:*_1_*:*_0,,,11421,HT10200-355,Metralite EQT print shipping labels,Done,11/Jun/25 11:54 AM
prepare shop drawing,HT10200-352,11387,Sub-task,Done,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,Done,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,06/Jun/25 10:16 AM,06/Jun/25 10:16 AM,,06/Jun/25 10:16 AM,,0,,,,Jed Ferreras,,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@10a2ab3f,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i001n3:,,,,,,,,,,,,,,,,,,,,,,,,,10135_*:*_1_*:*_3291_*|*_10137_*:*_1_*:*_0,,,11267,HT10200-323,metralite eqt headers po 66577.00,Done,06/Jun/25 10:16 AM
